Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MUFIN.NS,MUFIN.NS,MUFIN.NS,MUFIN.NS,MUFIN.NS,MUFIN.NS
Date,,,,,,
2023-11-06 00:00:00+00:00,134.5,134.5,135.64999389648438,128.0,133.0,209080
2023-11-07 00:00:00+00:00,127.80000305175781,127.80000305175781,135.64999389648438,127.80000305175781,135.64999389648438,210215
2023-11-08 00:00:00+00:00,125.0,125.0,130.0,121.44999694824219,124.0,370078
2023-11-09 00:00:00+00:00,122.0,122.0,127.69999694824219,119.05000305175781,127.6500015258789,84168
2023-11-10 00:00:00+00:00,120.8499984741211,120.8499984741211,125.9000015258789,119.75,125.9000015258789,109387
2023-11-13 00:00:00+00:00,123.25,123.25,126.0,121.1500015258789,125.0,51344
2023-11-15 00:00:00+00:00,124.8499984741211,124.8499984741211,126.94999694824219,123.0,123.0,82807
2023-11-16 00:00:00+00:00,122.19999694824219,122.19999694824219,126.0,121.5999984741211,126.0,84406
2023-11-17 00:00:00+00:00,116.69999694824219,116.69999694824219,124.6500015258789,116.0999984741211,124.6500015258789,218952
2023-11-20 00:00:00+00:00,114.75,114.75,118.19999694824219,110.9000015258789,116.69999694824219,170065
2023-11-21 00:00:00+00:00,114.19999694824219,114.19999694824219,117.0,112.5,116.94999694824219,55951
2023-11-22 00:00:00+00:00,113.69999694824219,113.69999694824219,117.0,112.55000305175781,114.1500015258789,53617
2023-11-23 00:00:00+00:00,111.5999984741211,111.5999984741211,114.8499984741211,110.8499984741211,113.5,85959
2023-11-24 00:00:00+00:00,112.25,112.25,113.80000305175781,109.3499984741211,112.94999694824219,92071
2023-11-28 00:00:00+00:00,110.94999694824219,110.94999694824219,114.05000305175781,110.0,114.0,119849
2023-11-29 00:00:00+00:00,111.25,111.25,115.6500015258789,110.55000305175781,111.0999984741211,92418
2023-11-30 00:00:00+00:00,114.30000305175781,114.30000305175781,115.44999694824219,112.0,115.44999694824219,57610
2023-12-01 00:00:00+00:00,116.44999694824219,116.44999694824219,119.94999694824219,114.30000305175781,114.30000305175781,73276
2023-12-04 00:00:00+00:00,117.30000305175781,117.30000305175781,121.5,117.0,120.0,65803
2023-12-05 00:00:00+00:00,115.0999984741211,115.0999984741211,119.94999694824219,114.69999694824219,119.94999694824219,52612
2023-12-06 00:00:00+00:00,112.19999694824219,112.19999694824219,119.75,111.30000305175781,119.75,112821
2023-12-07 00:00:00+00:00,109.3499984741211,109.3499984741211,114.94999694824219,108.05000305175781,114.5,168192
2023-12-08 00:00:00+00:00,114.80000305175781,114.80000305175781,114.80000305175781,109.0,109.0,47419
2023-12-11 00:00:00+00:00,120.5,120.5,120.5,120.5,120.5,38346
2023-12-12 00:00:00+00:00,126.5,126.5,126.5,126.5,126.5,55170
2023-12-13 00:00:00+00:00,132.8000030517578,132.8000030517578,132.8000030517578,132.8000030517578,132.8000030517578,28192
2023-12-14 00:00:00+00:00,139.39999389648438,139.39999389648438,139.39999389648438,139.39999389648438,139.39999389648438,39199
2023-12-15 00:00:00+00:00,146.35000610351562,146.35000610351562,146.35000610351562,139.89999389648438,146.35000610351562,881952
2023-12-18 00:00:00+00:00,153.64999389648438,153.64999389648438,153.64999389648438,140.3000030517578,148.75,382884
2023-12-19 00:00:00+00:00,161.3000030517578,161.3000030517578,161.3000030517578,161.3000030517578,161.3000030517578,29062
2023-12-20 00:00:00+00:00,168.5500030517578,168.5500030517578,169.35000610351562,155.0,161.3000030517578,681941
2023-12-21 00:00:00+00:00,163.8000030517578,163.8000030517578,175.0,160.14999389648438,169.5500030517578,686165
2023-12-22 00:00:00+00:00,171.8000030517578,171.8000030517578,171.9499969482422,166.89999389648438,166.9499969482422,479940
2023-12-26 00:00:00+00:00,180.35000610351562,180.35000610351562,180.35000610351562,175.25,178.85000610351562,521180
2023-12-27 00:00:00+00:00,173.14999389648438,173.14999389648438,185.5,171.35000610351562,184.0,689023
